,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, BH665283, 3871, 112643," COLEGIUL NATIONAL ""AVRAM IANCU"" STEI", BH, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 3.15, , 3.15, ,  , , , , LIMBA ENGLEZA, A1-A2-A1-A2-A2, MATEMATICA ST-NAT, 5.9, , 5.9, BIOLOGIE VEGETALA SI ANIMALA, 5, , 5,  , , RESPINS
1, BH665285, 2847, 95854," COLEGIUL TEHNIC ""IOAN CIORDAS"" BEIUS", BH, DA, ZI, TEHNICIAN PROIECTANT CAD, Utilizator experimentat, 6.5, , 6.5, ,  , , , , LIMBA ENGLEZA, A2-A2--A2-A2, MATEMATICA TEHN, 5.3, , 5.3, BIOLOGIE VEGETALA SI ANIMALA, 6.05, , 6.05, Utilizator avansat, 5.95, RESPINS
2, BH665311, 3872, 112644," COLEGIUL TEHNIC ""IOAN CIORDAS"" BEIUS", BH, DA, ZI, TEHNICIAN PROIECTANT CAD, Utilizator avansat, 4.3, 5, 5, ,  , , , , LIMBA ENGLEZA, B1-A1--A1-A1, MATEMATICA TEHN, 1.25, , 1.25, BIOLOGIE VEGETALA SI ANIMALA, 2.8, 3.25, 3.25, Utilizator nivel mediu, , RESPINS
3, BH665636, 3873, 112645, LICEUL TEHNOLOGIC NR.1 POPESTI, BH, DA, ZI, FILOLOGIE, Utilizator experimentat, 5.25, , 5.25, ,  , , , , LIMBA ENGLEZA, A2-A2--B1-B1, ISTORIE, 4.15, , 4.15, GEOGRAFIE, 5.3, , 5.3, Utilizator incepator, , RESPINS
4, BH665848, 3874, 112646," LICEUL TEORETIC ""ADY ENDRE"" ORADEA", BH, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 3.4, 3.1, 3.1, LIMBA MAGHIARA (REAL), Utilizator experimentat, 5.4, , 5.4, LIMBA ENGLEZA, B1-B2-A1-A2-A2, MATEMATICA ST-NAT, 5.65, , 5.65," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.3, , 8.3, Utilizator nivel mediu, , RESPINS
5, BH666087, 3875, 112647," COLEGIUL NATIONAL ""AVRAM IANCU"" STEI", BH, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 5.45, , 5.45, ,  , , , , LIMBA ENGLEZA, A1-B1--A2-A2, MATEMATICA ST-NAT, 3.15, , 3.15," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.15, , 5.15,  , , RESPINS
6, BH666413, 3876, 112648," LICEUL TEORETIC ""ADY ENDRE"" ORADEA", BH, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 4.1, 4.45, 4.45, LIMBA MAGHIARA (REAL), Utilizator avansat, 5.15, , 5.15, LIMBA ENGLEZA, A1-A2-A2-A2-A2, MATEMATICA ST-NAT, 5.6, , 5.6," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.7, , 6.7, Utilizator incepator, , RESPINS
7, BH666553, 3877, 112649," LICEUL TEORETIC ""ADY ENDRE"" ORADEA", BH, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 5.2, , 5.2, LIMBA MAGHIARA (REAL), Utilizator experimentat, 7.65, , 7.65, LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 3.7, 3.55, 3.55," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.7, , 5.7, Utilizator nivel mediu, , RESPINS
8, BH666778, 3878, 112650," COLEGIUL NATIONAL ""AVRAM IANCU"" STEI", BH, DA, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.1, , 8.1, ,  , , , , LIMBA ENGLEZA, A2-A2--B1-B1, MATEMATICA ST-NAT, 1.55, , 1.55, BIOLOGIE VEGETALA SI ANIMALA, 5.65, , 5.65, Utilizator nivel mediu, , RESPINS
9, BH667606, 2800, 94312," COLEGIUL TEHNIC ""IOAN CIORDAS"" BEIUS", BH, DA, ZI, TEHNICIAN PROIECTANT CAD, Utilizator avansat, 5.55, , 5.55, ,  , , , , LIMBA ENGLEZA, B1-A2--B1-B1, MATEMATICA TEHN, 5.2, , 5.2, BIOLOGIE VEGETALA SI ANIMALA, 7.35, , 7.35, Utilizator avansat, 6.03, REUSIT
