,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, CT914147, 1689, 47951, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 8.1, , 8.1, ,  , , , , LIMBA ENGLEZA, B1-B2-B1-B2-B2, MATEMATICA TEHN, 7.1, , 7.1, BIOLOGIE VEGETALA SI ANIMALA, 8.7, , 8.7, Utilizator avansat, 7.96, Reusit
1, CT914167, 2531, 71438, LICEUL ENERGETIC CONSTANTA, CT, NU, Zi, TEHNICIAN IN AUTOMATIZARI, Utilizator experimentat, 5.3, , 5.3, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 7.5, , 7.5, FIZICA TEH, 7.8, , 7.8,  , 6.86, Reusit
2, CT914169, 4732, 108765, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 4.35, , 4.35, ,  , , , , LIMBA ENGLEZA, B2-A2-B1-B2-B2, MATEMATICA TEHN, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 2, , 2, Utilizator avansat, , Respins
3, CT914184, 4733, 108766, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 6.6, 5.7, 5.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B2-B2, MATEMATICA TEHN, 3.55, 2.5, 2.5, BIOLOGIE VEGETALA SI ANIMALA, 5, , 5, Utilizator nivel mediu, , Respins
4, CT914193, 4734, 108767, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator avansat, 5.3, , 5.3, ,  , , , , LIMBA ENGLEZA, B2-B1-B1-B1-A2, MATEMATICA TEHN, 1.65, , 1.65, BIOLOGIE VEGETALA SI ANIMALA, 1.4, , 1.4, Utilizator incepator, , Respins
5, CT914204, 4735, 108768, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator avansat, 5.3, , 5.3, ,  , , , , LIMBA ENGLEZA, B1-B1-A2-B2-B2, MATEMATICA TEHN, 1.25, , 1.25, BIOLOGIE VEGETALA SI ANIMALA, 2.1, , 2.1, Utilizator nivel mediu, , Respins
6, CT914207, 2640, 74549, LICEUL ENERGETIC CONSTANTA, CT, NU, Zi, TEHNICIAN IN AUTOMATIZARI, Utilizator experimentat, 5.7, , 5.7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 6.15, , 6.15, FIZICA TEH, 8.25, , 8.25, Utilizator nivel mediu, 6.7, Reusit
7, CT914216, 2941, 83148, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 6.2, , 6.2, ,  , , , , LIMBA ENGLEZA, B1-B2-B1-B2-B2, MATEMATICA TEHN, 5.8, , 5.8, BIOLOGIE VEGETALA SI ANIMALA, 6.8, , 6.8, Utilizator nivel mediu, 6.26, Reusit
8, CT914232, 4736, 108769, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 4.2, , 4.2, ,  , , , , LIMBA ENGLEZA, B1-A2--A2-A2, MATEMATICA TEHN, 3, , 3, BIOLOGIE VEGETALA SI ANIMALA, 3.55, , 3.55, Utilizator nivel mediu, , Respins
9, CT914240, 1842, 52407, LICEUL ENERGETIC CONSTANTA, CT, NU, Zi, TEHNICIAN IN AUTOMATIZARI, Utilizator experimentat, 5.3, , 5.3, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 8.35, , 8.35, FIZICA TEH, 9.65, , 9.65, Utilizator nivel mediu, 7.76, Reusit
10, CT914246, 4737, 108770, LICEUL TEHNOLOGIC â€™TOMISâ€™ CONSTANTA, CT, NU, Zi, TEHNICIAN DESENATOR PENTRU CONSTRUCTII SI INSTALATII, Utilizator experimentat, 5.3, 5.15, 5.15, ,  , , , , LIMBA ENGLEZA, B2-B2-A2-B2-B2, MATEMATICA TEHN, 2.65, 2.85, 2.85, BIOLOGIE VEGETALA SI ANIMALA, 3.5, 4.1, 4.1, Utilizator nivel mediu, , Respins
11, CT914270, 2459, 69180, COLEGIUL NATIONAL DE ARTE â€™REGINA MARIAâ€™ CONSTANTA, CT, NU, Zi, ARTA ACTORULUI, Utilizator experimentat, 7.9, , 7.9, ,  , , , , LIMBA ENGLEZA, A2-A1-B1-B2-B2, ISTORIE, 5.95, , 5.95, GEOGRAFIE, 7.1, , 7.1, Utilizator nivel mediu, 6.98, Reusit
12, CT914282, 3252, 91843, LICEUL ENERGETIC CONSTANTA, CT, NU, Zi, TEHNICIAN IN AUTOMATIZARI, Utilizator experimentat, 5.2, , 5.2, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-B2-B2, MATEMATICA TEHN, 5.65, , 5.65, BIOLOGIE VEGETALA SI ANIMALA, 7, 6.4, 6.4, Utilizator nivel mediu, 5.75, Respins
13, CT914290, 2485, 70124, COLEGIUL NATIONAL DE ARTE â€™REGINA MARIAâ€™ CONSTANTA, CT, NU, Zi, ARTA ACTORULUI, Utilizator experimentat, 6.2, , 6.2, ,  , , , , LIMBA ENGLEZA, B1-A2-B2-B1-B1, ISTORIE, 6.05, , 6.05," LOGICA, ARGUMENTARE SI COMUNICARE", 8.55, , 8.55, Utilizator nivel mediu, 6.93, Reusit
14, CT914300, 3101, 87831, COLEGIUL NATIONAL DE ARTE â€™REGINA MARIAâ€™ CONSTANTA, CT, NU, Zi, ARTA ACTORULUI, Utilizator experimentat, 5.5, 5.35, 5.35, ,  , , , , LIMBA ENGLEZA, B1-B1-A2-A1-A1, ISTORIE, 5.95, , 5.95, GEOGRAFIE, 6.1, 6.85, 6.85, Utilizator avansat, 6.05, Reusit
15, CT914322, 4738, 108771, COLEGIUL NATIONAL DE ARTE â€™REGINA MARIAâ€™ CONSTANTA, CT, NU, Zi, ARTA ACTORULUI, Utilizator experimentat, 5.15, 5.2, 5.2, ,  , , , , LIMBA FRANCEZA, A2-A2--A1-A1, ISTORIE, 5.05, 4.15, 4.15," LOGICA, ARGUMENTARE SI COMUNICARE", 6.8, 7.05, 7.05, Utilizator nivel mediu, , Respins
16, CT914329, 5062, 131688, LICEUL TEHNOLOGIC DE ELECTROTEHNICA SI TELECOMUNICATII CONSTANTA, CT, NU, Zi, TEHNICIAN IN AUTOMATIZARI, Neprezentat, Neprezentat, , Neprezentat, ,  , , , , LIMBA ENGLEZA, Neprezentat, MATEMATICA TEHN, Neprezentat, , Neprezentat, BIOLOGIE VEGETALA SI ANIMALA, Neprezentat, , Neprezentat, Neprezentat, , Neprezentat
17, CT914333, 2629, 74247, COLEGIUL NATIONAL DE ARTE â€™REGINA MARIAâ€™ CONSTANTA, CT, NU, Zi, ARTA ACTORULUI, Utilizator experimentat, 6.9, , 6.9, ,  , , , , LIMBA ENGLEZA, B1-B2-B2-B2-B2, ISTORIE, 6, , 6, PSIHOLOGIE, 7.25, , 7.25, Utilizator experimentat, 6.71, Reusit
