,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, B1057239, 3264, 21786," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.95, , 8.95, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 8.5, 9.3, 9.3, ECONOMIE, 9.1, , 9.1,  , 9.11, REUSIT
1, B1057240, 4245, 29249," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.8, 8.15, 8.15, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.85, , 9.85, GEOGRAFIE, 8.85, 8.65, 8.65,  , 8.88, REUSIT
2, B1057244, 4324, 29757," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.7, , 7.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.4, , 9.4, Utilizator experimentat, 8.86, REUSIT
3, B1057247, 8129, 62382," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 6.85, , 6.85, ,  , , , , LIMBA ENGLEZA,  , ISTORIE, 9.5, , 9.5, PSIHOLOGIE, 6.5, , 6.5,  , 7.61, REUSIT
4, B1057249, 1249, 7267," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.3, , 9.3, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 10, , 10, INFORMATICA MI C/C++, 9.45, , 9.45, Utilizator experimentat, 9.58, REUSIT
5, B1057251, 2338, 14788," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.4, , 8.4, ,  , , , , LIMBA ENGLEZA,  , ISTORIE, 9.6, , 9.6, GEOGRAFIE, 10, , 10,  , 9.33, REUSIT
6, B1057252, 4677, 32684," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.25, , 8.25, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.45, , 8.45, CHIMIE ORGANICA TEO NIVEL I/II, 9.6, , 9.6, Utilizator experimentat, 8.76, REUSIT
7, B1057254, 6662, 49403," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 7.3, , 7.3, ,  , , , , LIMBA SPANIOLA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 8.45, , 8.45, FIZICA TEO, 8.75, , 8.75, Utilizator experimentat, 8.16, REUSIT
8, B1057255, 7413, 56022," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 7.4, , 7.4, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 8.2, , 8.2, PSIHOLOGIE, 8.1, , 8.1, Utilizator experimentat, 7.9, REUSIT
9, B1057256, 4748, 33180," COLEGIUL GERMAN ""GOETHE""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.15, , 9.15, LIMBA GERMANA, Utilizator avansat, 9, , 9, LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.65, 7.55, 7.55, FIZICA TEO, 9.3, , 9.3, Utilizator experimentat, 8.75, REUSIT
10, B1057259, 9363, 74124," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 5.8, , 5.8, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.75, , 7.75," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.55, , 7.55, Utilizator experimentat, 7.03, REUSIT
11, B1057260, 2257, 14281," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.65, , 9.65, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.25, , 9.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.15, , 9.15, Utilizator experimentat, 9.35, REUSIT
12, B1057262, 5283, 37521," LICEUL TEORETIC ""JEAN MONNET""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.25, 7.75, 7.75, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.2, , 9.2, GEOGRAFIE, 8.85, , 8.85,  , 8.6, REUSIT
13, B1057264, 8277, 63770," LICEUL TEORETIC BILINGV ""MIGUEL DE CERVANTES""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.8, , 8.8, ,  , , , , LIMBA SPANIOLA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.85, , 7.85, CHIMIE ORGANICA TEO NIVEL I/II, 6, , 6, Utilizator experimentat, 7.55, REUSIT
