,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, SV1115623, 2434, 62353," LICEUL TEORETIC ""ION LUCA"" VATRA DORNEI", SV, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.2, , 8.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 5.9, , 5.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.3, 7.9, 7.9, Utilizator experimentat, 7.33, REUSIT
1, SV1115627, 3878, 121847," LICEUL TEHNOLOGIC ""VASILE COCEA"" MOLDOVITA", SV, NU, ZI, TEHNICIAN IN TURISM, Utilizator nivel mediu, 3.3, , 3.3, ,  , , , , LIMBA FRANCEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 2.95, , 2.95, GEOGRAFIE, 3.45, , 3.45, Utilizator experimentat, , RESPINS
2, SV1115630, 619, 17474," LICEUL TEHNOLOGIC ""OLTEA DOAMNA"" DOLHASCA", SV, NU, ZI, FILOLOGIE, Utilizator experimentat, 9.65, , 9.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 7.75, , 7.75," LOGICA, ARGUMENTARE SI COMUNICARE", 10, , 10, Utilizator experimentat, 9.13, REUSIT
3, SV1115633, 3152, 79233," LICEUL TEHNOLOGIC ""ION NISTOR"" VICOVU DE SUS", SV, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 6.4, , 6.4, ,  , , , , LIMBA FRANCEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8, , 8, Utilizator avansat, 6.46, REUSIT
4, SV1115638, 1647, 42853," COLEGIUL NATIONAL ""STEFAN CEL MARE"" SUCEAVA", SV, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.8, 9.5, 9.5, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 6.7, , 6.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.05, 8.4, 8.4,  , 8.2, REUSIT
5, SV1115640, 3879, 121848," LICEUL TEHNOLOGIC ""ION NISTOR"" VICOVU DE SUS", SV, NU, ZI, STIINTE ALE NATURII, Utilizator nivel mediu, 5, , 5, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA ST-NAT, 3.3, , 3.3," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 3.35, , 3.35, Utilizator experimentat, , RESPINS
6, SV1115641, 3713, 93885," LICEUL TEHNOLOGIC ""VASILE COCEA"" MOLDOVITA", SV, NU, ZI, TEHNICIAN IN TURISM, Utilizator nivel mediu, 5.6, 5.35, 5.35, ,  , , , , LIMBA FRANCEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 5.15, 5, 5, GEOGRAFIE, 5.8, 6, 6, Utilizator experimentat, 5.45, RESPINS
7, SV1115646, 2239, 57033," LICEUL TEORETIC ""ION LUCA"" VATRA DORNEI", SV, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.7, , 8.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 5.2, , 5.2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.85, , 8.85, Utilizator experimentat, 7.58, REUSIT
8, SV1115648, 497, 14062," COLEGIUL NATIONAL ""STEFAN CEL MARE"" SUCEAVA", SV, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.5, , 8.5, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 9.5, , 9.5, CHIMIE ORGANICA TEO NIVEL I/II, 9.75, , 9.75, Utilizator experimentat, 9.25, REUSIT
9, SV1115653, 1951, 49679," LICEUL TEHNOLOGIC ""VASILE COCEA"" MOLDOVITA", SV, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 6.9, , 6.9, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 9.2, , 9.2, GEOGRAFIE, 7.65, , 7.65, Utilizator experimentat, 7.91, REUSIT
