,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, CV1100253, 250, 38482, LICEUL TEOLOGIC REFORMAT SFANTU GHEORGHE, CV, NU, ZI, TEOLOGIE REFORMATA, Utilizator nivel mediu, 5.05, , 5.05, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.85, , 9.85, LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.05, , 9.05, GEOGRAFIE, 9.5, , 9.5, Utilizator experimentat, 8.36, REUSIT
1, CV1100348, 844, 107642," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 3.15, 5, 5, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 6.9, , 6.9, LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 3.5, 3.5, 3.5, CHIMIE ANORGANICA TEO NIVEL I/II, 8.4, , 8.4, Utilizator experimentat, , RESPINS
2, CV1100440, 60, 17274," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.25, , 7.25, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.75, , 9.75, LIMBA GERMANA MODERNA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.7, , 9.7, INFORMATICA MI C/C++, 9.85, , 9.85, Utilizator experimentat, 9.13, REUSIT
3, CV1100613, 280, 41848," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 7.3, , 7.3, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 8.7, , 8.7, LIMBA GERMANA MODERNA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.85, , 7.85, INFORMATICA MI C/C++, 9.1, , 9.1, Utilizator experimentat, 8.23, REUSIT
4, CV1100718, 677, 82946," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 6, , 6, LIMBA MAGHIARA (REAL), Utilizator avansat, 8.3, , 8.3, LIMBA GERMANA MODERNA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 5.7, , 5.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.05, , 5.05, Utilizator experimentat, 6.26, REUSIT
5, CV1100800, 845, 107643," LICEUL TEHNOLOGIC ""BARĂłTI SZABĂł DĂˇVID"" BARAOLT", CV, NU, ZI, TEHNICIAN ECOLOG SI PROTECTIA CALITATII MEDIULUI, Utilizator nivel mediu, 2.1, , 2.1, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 6.9, , 6.9, LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 7.1, , 7.1, CHIMIE ANORGANICA TEH NIVEL I/II, 5.25, , 5.25, Utilizator experimentat, , RESPINS
6, CV1100851, 421, 54714," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.6, , 5.6, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 8.9, , 8.9, LIMBA GERMANA MODERNA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 8.1, , 8.1, FIZICA TEO, 8.15, , 8.15, Utilizator experimentat, 7.68, REUSIT
7, CV1100967, 270, 40620," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 6.25, , 6.25, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.3, , 9.3, LIMBA GERMANA MODERNA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.25, , 8.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.35, , 9.35, Utilizator experimentat, 8.28, REUSIT
8, CV1101041, 469, 58663," LICEUL TEHNOLOGIC ""BARĂłTI SZABĂł DĂˇVID"" BARAOLT", CV, NU, ZI, TEHNICIAN ECOLOG SI PROTECTIA CALITATII MEDIULUI, Utilizator avansat, 5.6, , 5.6, LIMBA MAGHIARA (REAL), Utilizator experimentat, 7.2, , 7.2, LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 9.15, , 9.15, CHIMIE ANORGANICA TEH NIVEL I/II, 8.05, , 8.05, Utilizator experimentat, 7.5, REUSIT
9, CV1101078, 846, 107644," LICEUL TEORETIC ""NAGY MĂłZES"" TARGU SECUIESC", CV, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 4.1, 3.8, 3.8, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 8.15, , 8.15, LIMBA GERMANA MODERNA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 3.4, 3.5, 3.5, CHIMIE ANORGANICA TEO NIVEL I/II, 7.75, , 7.75, Utilizator experimentat, , RESPINS
