,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, AB903633, 1103, 55140," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, NU, Zi, FILOLOGIE, Utilizator experimentat, 7.6, , 7.6, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-B1-B1, ISTORIE, 7, , 7, GEOGRAFIE, 8.3, , 8.3, Utilizator avansat, 7.63, Reusit
1, AB903658, 2302, 97126," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, NU, Zi, FILOLOGIE, Utilizator nivel mediu, 5.5, , 5.5, ,  , , , , LIMBA ENGLEZA, A2-A1--A1-A1, ISTORIE, 3.7, 3.6, 3.6, GEOGRAFIE, 7.8, , 7.8, Utilizator nivel mediu, , Respins
2, AB903697, 1323, 66602," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, NU, Zi, TEHNICIAN PROIECTANT CAD, Utilizator avansat, 5.25, , 5.25, ,  , , , , LIMBA ENGLEZA, A2-A2--A2-A2, MATEMATICA TEHN, 8, , 8, BIOLOGIE VEGETALA SI ANIMALA, 8.05, , 8.05, Utilizator avansat, 7.1, Reusit
3, AB903790, 2303, 97127," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, NU, Zi, TEHNICIAN PROIECTANT CAD, Utilizator avansat, 5.1, , 5.1, ,  , , , , LIMBA ENGLEZA, B1-A2-A1-B1-B1, MATEMATICA TEHN, 3.8, , 3.8, BIOLOGIE VEGETALA SI ANIMALA, 4.45, , 4.45, Utilizator nivel mediu, , Respins
4, AB903836, 2304, 97128," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, NU, Zi, TEHNICIAN PROIECTANT CAD, Utilizator nivel mediu, 5, 5, 5, ,  , , , , LIMBA FRANCEZA, A1-B1-A2-A1-A1, MATEMATICA TEHN, 5, , 5, BIOLOGIE VEGETALA SI ANIMALA, 4.4, 4.3, 4.3, Utilizator nivel mediu, , Respins
5, AB903868, 2305, 97129," COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA", AB, NU, Zi, TEHNICIAN IN ACHIZITII SI CONTRACTARI, Utilizator experimentat, 6.95, , 6.95, ,  , , , , LIMBA ENGLEZA, B1-A2---, MATEMATICA TEHN, 4.3, 4.45, 4.45, GEOGRAFIE, 6.9, , 6.9, Utilizator nivel mediu, , Respins
6, AB903888, 2477, 129166," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, NU, Zi, TEHNICIAN PROIECTANT CAD, Utilizator nivel mediu, Neprezentat, , Neprezentat, ,  , , , , LIMBA ENGLEZA, A1-A2--A2-A2, MATEMATICA TEHN, Neprezentat, , Neprezentat, BIOLOGIE VEGETALA SI ANIMALA, Neprezentat, , Neprezentat, Utilizator nivel mediu, , Neprezentat
7, AB903889, 342, 16149," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, NU, Zi, FILOLOGIE, Utilizator experimentat, 7.95, , 7.95, ,  , , , , LIMBA ENGLEZA, B1-B1-B2-B2-B2, ISTORIE, 9.6, , 9.6, GEOGRAFIE, 10, , 10, Utilizator avansat, 9.18, Reusit
8, AB903928, 1072, 53682," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, NU, Zi, TEHNICIAN PROIECTANT CAD, Utilizator avansat, 7.75, , 7.75, ,  , , , , LIMBA ENGLEZA, B1-A2-B1-B2-B2, MATEMATICA TEHN, 7.9, , 7.9, BIOLOGIE VEGETALA SI ANIMALA, 7.45, , 7.45, Utilizator nivel mediu, 7.7, Reusit
9, AB903981, 900, 45029," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, NU, Zi, FILOLOGIE, Utilizator experimentat, 7.3, , 7.3, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-B2-B2, ISTORIE, 7.2, , 7.2, GEOGRAFIE, 9.75, , 9.75, Utilizator avansat, 8.08, Reusit
