,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, AB896833, 1704, 90066, LICEUL TEHNOLOGIC AIUD, AB, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator experimentat, 5.1, , 5.1, ,  , , , , LIMBA ENGLEZA, A2-A2--A1-A1, MATEMATICA TEHN, 5.1, , 5.1," LOGICA, ARGUMENTARE SI COMUNICARE", 8.45, , 8.45, Utilizator nivel mediu, 6.21, REUSIT
1, AB897345, 2355, 103901, LICEUL TEHNOLOGIC AIUD, AB, DA, ZI, TEHNICIAN OPERATOR TEHNICA DE CALCUL, Utilizator avansat, 5, , 5, ,  , , , , LIMBA ENGLEZA, B1-B1-A2-A2-A2, MATEMATICA TEHN, 2.75, , 2.75, BIOLOGIE VEGETALA SI ANIMALA, 7.3, , 7.3, Utilizator nivel mediu, , RESPINS
2, AB899312, 2614, 147779," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, DA, ZI, TEHNICIAN ELECTROTEHNIST, Utilizator avansat, 7, , 7, ,  , , , , LIMBA ENGLEZA, A1-A1--A2-A2, MATEMATICA TEHN, 5.35, , 5.35, BIOLOGIE VEGETALA SI ANIMALA, -2, , -2, Utilizator nivel mediu, , NEPREZENTAT
3, AB899371, 2356, 103902," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, DA, ZI, TEHNICIAN ELECTROTEHNIST, Utilizator avansat, 6.65, , 6.65, ,  , , , , LIMBA ENGLEZA, B1-A1-A1-B2-B2, MATEMATICA TEHN, 4.25, , 4.25, BIOLOGIE VEGETALA SI ANIMALA, 2.9, , 2.9, Utilizator incepator, , RESPINS
4, AB900969, 1783, 94669," COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA", AB, DA, ZI, TEHNICIAN IN GASTRONOMIE, Utilizator avansat, 5.45, , 5.45, ,  , , , , LIMBA ENGLEZA, A2-A2--A2-A1, MATEMATICA TEHN, 5.3, , 5.3," LOGICA, ARGUMENTARE SI COMUNICARE", 7.3, , 7.3, Utilizator nivel mediu, 6.01, REUSIT
5, AB901556, 2357, 103903, LICEUL TEHNOLOGIC SILVIC CIMPENI, AB, DA, SERAL, TEHNICIAN DESIGNER MOBILA SI AMENAJARI INTERIOARE, Utilizator experimentat, 4.1, , 4.1, ,  , , , , LIMBA ENGLEZA, A1-A2--A1-A1, MATEMATICA TEHN, 1.15, , 1.15, BIOLOGIE VEGETALA SI ANIMALA, 2.5, , 2.5, Utilizator incepator, , RESPINS
6, AB901589, 1858, 98886," LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD", AB, DA, ZI, FILOLOGIE, Utilizator nivel mediu, 5, , 5, ,  , , , , LIMBA ENGLEZA, A2-B1-A1-B1-B1, ISTORIE, 5, , 5, GEOGRAFIE, 7.1, , 7.1, Utilizator nivel mediu, 5.7, RESPINS
7, AB901730, 2615, 147780," COLEGIUL TEHNIC ""APULUM"" ALBA IULIA", AB, DA, ZI, TEHNICIAN IN INDUSTRIA STICLEI SI CERAMICII, Utilizator nivel mediu, 5.9, 6, 6, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, -2, , -2, BIOLOGIE VEGETALA SI ANIMALA, 4.55, 5, 5, Utilizator avansat, , NEPREZENTAT
8, AB901931, 1732, 91544," COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR", AB, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator experimentat, 6.25, , 6.25, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-B1-B1, MATEMATICA TEHN, 5, , 5, GEOGRAFIE, 7.2, , 7.2, Utilizator nivel mediu, 6.15, REUSIT
9, AB902174, 2638, 155389, LICEUL TEHNOLOGIC SILVIC CIMPENI, AB, DA, SERAL, TEHNICIAN IN PRELUCRAREA LEMNULUI, Utilizator experimentat, 6.5, , 6.5, ,  , , , , LIMBA ENGLEZA, A2-B1--B1-B1, MATEMATICA TEHN, 7.25, , 7.25, BIOLOGIE VEGETALA SI ANIMALA, -1, , -1, Utilizator nivel mediu, , ELIMINAT DIN EXAMEN
