,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, MS1002891, 1751, 70765, LICEUL VOCATIONAL DE ARTA TIRGU MURES, MS, NU, ZI, ARTA ACTORULUI, Utilizator nivel mediu, 5, , 5, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 7.4, , 7.4, LIMBA ENGLEZA, A1-A1-A1-A1-A1, ISTORIE, 7.05, , 7.05, GEOGRAFIE, 9.4, , 9.4, Utilizator experimentat, 7.21, REUSIT
1, MS1002900, 2670, 134114, LICEUL VOCATIONAL DE ARTA TIRGU MURES, MS, NU, ZI, ARTA ACTORULUI, Utilizator nivel mediu, 3.4, , 3.4, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 6.6, , 6.6, LIMBA ENGLEZA, A2-A2-A2-A2-A2, ISTORIE, 5.1, , 5.1, GEOGRAFIE, 7.1, , 7.1, Utilizator experimentat, , RESPINS
2, MS1002916, 523, 27016, LICEUL VOCATIONAL DE ARTA TIRGU MURES, MS, NU, ZI, MUZICA, Utilizator avansat, 8.25, , 8.25, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.5, , 9.5, LIMBA ENGLEZA, A2-A2-A2-A2-A2, ISTORIE, 8.5, , 8.5, GEOGRAFIE, 9.6, , 9.6, Utilizator experimentat, 8.96, REUSIT
3, MS1002988, 552, 28050, LICEUL VOCATIONAL DE ARTA TIRGU MURES, MS, NU, ZI, ARTA ACTORULUI, Utilizator experimentat, 9, , 9, LIMBA MAGHIARA (REAL), Utilizator avansat, 9.6, , 9.6, LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9, , 9, GEOGRAFIE, 8.15, , 8.15, Utilizator experimentat, 8.93, REUSIT
4, MS1003234, 2671, 134115," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, ORGANIZATOR BANQUETING, Utilizator nivel mediu, 5.3, 6.25, 6.25, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 3.05, , 3.05, GEOGRAFIE, 5, 4.5, 4.5, Utilizator avansat, , RESPINS
5, MS1003282, 2530, 97971," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, TEHNICIAN PROIECTANT CAD, Utilizator nivel mediu, 7.35, , 7.35, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 5, , 5, BIOLOGIE VEGETALA SI ANIMALA, 5.1, 5, 5, Utilizator experimentat, 5.78, RESPINS
6, MS1003337, 1333, 57394," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, ORGANIZATOR BANQUETING, Utilizator nivel mediu, 6.9, , 6.9, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 7.1, , 7.1, GEOGRAFIE, 9.55, , 9.55, Utilizator avansat, 7.85, REUSIT
7, MS1003621, 2672, 134116," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, TEHNICIAN PROIECTANT CAD, Utilizator nivel mediu, 4.6, , 4.6, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 2.6, , 2.6, BIOLOGIE VEGETALA SI ANIMALA, 1.65, , 1.65, Utilizator nivel mediu, , RESPINS
8, MS1003715, 2673, 134117," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, TEHNICIAN PROIECTANT CAD, Utilizator nivel mediu, 3.55, , 3.55, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 1.6, , 1.6, Utilizator nivel mediu, , RESPINS
9, MS1003746, 2674, 134118," LICEUL TEHNOLOGIC ""GHEORGHE SINCAI"" TIRGU MURES", MS, NU, ZI, ORGANIZATOR BANQUETING, Utilizator nivel mediu, 4.25, 5, 5, LIMBA MAGHIARA (REAL), Utilizator nivel mediu, 5.5, 6.3, 6.3, LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 1, 1, 1, GEOGRAFIE, 5.25, , 5.25, Utilizator experimentat, , RESPINS
