,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, VS953118, 796, 42282," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.65, , 8.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.7, , 6.7, CHIMIE ORGANICA TEO NIVEL I/II, 10, , 10,  , 8.45, REUSIT
1, VS953132, 361, 20026," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.35, , 9.35, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.7, , 8.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.5, , 9.5, Utilizator experimentat, 9.18, REUSIT
2, VS953150, 1682, 83562," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 6.6, 6.2, 6.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.4, 6.35, 6.35, CHIMIE ORGANICA TEO NIVEL I/II, 6.85, 7.1, 7.1, Utilizator experimentat, 6.55, REUSIT
3, VS953170, 797, 42283," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.8, 9.2, 9.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 7.05, 6.8, 6.8, CHIMIE ORGANICA TEO NIVEL I/II, 9.35, , 9.35, Utilizator experimentat, 8.45, REUSIT
4, VS953176, 2559, 147259," LICEUL TEHNOLOGIC ""ALEXANDRU IOAN CUZA"", MUN. BARLAD", VS, NU, ZI, TEHNICIAN ANALIZE PRODUSE ALIMENTARE, Utilizator nivel mediu, 4.05, , 4.05, ,  , , , , LIMBA FRANCEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 1.25, , 1.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 2.45, , 2.45, Utilizator incepator, , RESPINS
5, VS953191, 288, 16274," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.35, , 9.35, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.4, , 9.4," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.15, , 9.15, Utilizator experimentat, 9.3, REUSIT
6, VS953211, 949, 49318," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.5, 8.85, 8.85, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.2, 5.85, 5.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.85, , 9.85, Utilizator experimentat, 8.18, REUSIT
7, VS953228, 444, 23930," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.4, , 8.4, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.8, , 8.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 10, , 10, Utilizator experimentat, 9.06, REUSIT
8, VS953242, 249, 14198," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.1, , 9.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.5, , 9.5, Utilizator experimentat, 9.36, REUSIT
9, VS953258, 978, 50635," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.25, , 8.25, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.7, , 6.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.45, , 9.45, Utilizator experimentat, 8.13, REUSIT
10, VS953279, 125, 7182," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.2, 9.6, 9.6, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.2, , 9.2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.85, 10, 10, Utilizator experimentat, 9.6, REUSIT
11, VS953299, 518, 28174," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 9.05, , 9.05, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.1, , 8.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.65, , 9.65, Utilizator experimentat, 8.93, REUSIT
12, VS953323, 957, 49783," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 6.1, , 6.1, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.7, , 9.7, INFORMATICA SN C/C++, 8.7, , 8.7, Utilizator experimentat, 8.16, REUSIT
13, VS953341, 603, 32583," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 7.5, , 7.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 10, , 10, FIZICA TEO, 8.85, 8.85, 8.85, Utilizator experimentat, 8.78, REUSIT
14, VS953365, 450, 24459," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9, , 9, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.55, , 8.55," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.6, , 9.6, Utilizator experimentat, 9.05, REUSIT
15, VS953382, 874, 45901," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 7, , 7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.3, , 8.3," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.65, , 9.65, Utilizator experimentat, 8.31, REUSIT
16, VS953402, 833, 43699," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.05, , 8.05, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 7.85, , 7.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.3, , 9.3, Utilizator experimentat, 8.4, REUSIT
17, VS953410, 1226, 62315," LICEUL ""STEFAN CEL MARE"", SAT CODAESTI", VS, NU, ZI, FILOLOGIE, Utilizator avansat, 7.55, , 7.55, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 6.65, , 6.65, GEOGRAFIE, 8.7, , 8.7, Utilizator experimentat, 7.63, REUSIT
18, VS953479, 306, 17294," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.2, , 9.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.8, , 8.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.8, , 9.8, Utilizator experimentat, 9.26, REUSIT
19, VS953516, 1412, 71196," LICEUL ""STEFAN CEL MARE"", SAT CODAESTI", VS, NU, ZI, FILOLOGIE, Utilizator nivel mediu, 5.7, , 5.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 7.05, , 7.05, GEOGRAFIE, 8.85, , 8.85, Utilizator avansat, 7.2, REUSIT
20, VS953536, 612, 33097," LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI", VS, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 8.3, 8.9, 8.9, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.5, , 9.5," LOGICA, ARGUMENTARE SI COMUNICARE", 7.9, , 7.9, Utilizator experimentat, 8.76, REUSIT
