,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, GR927753, 1115, 111903," LICEUL TEORETIC ""TUDOR VIANU"" GIURGIU", GR, DA, ZI, STIINTE ALE NATURII, Utilizator nivel mediu, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA ST-NAT, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 3.05, , 3.05, Utilizator avansat, , RESPINS
1, GR927782, 539, 82350," LICEUL TEORETIC ""TUDOR VIANU"" GIURGIU", GR, DA, ZI, STIINTE SOCIALE, Utilizator experimentat, 6, , 6, ,  , , , , LIMBA ENGLEZA, B1-A2-A1-A2-B1, ISTORIE, 5.2, , 5.2, GEOGRAFIE, 7.7, , 7.7, Utilizator nivel mediu, 6.3, REUSIT
2, GR940139, 1116, 111904," LICEUL TEHNOLOGIC ""DIMITRIE BOLINTINEANU"" BOLINTIN VALE", GR, DA, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.2, , 5.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 5.35, , 5.35, BIOLOGIE VEGETALA SI ANIMALA, 4.45, , 4.45, Utilizator avansat, , RESPINS
3, GR940250, 1117, 111905," SEMINARUL TEOLOGIC ORTODOX ""TEOCTIST PATRIARHUL""", GR, DA, ZI, TEOLOGIE ORTODOXA, Utilizator avansat, 5.15, , 5.15, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 3.9, , 3.9," LOGICA, ARGUMENTARE SI COMUNICARE", 6.6, , 6.6, Utilizator experimentat, , RESPINS
4, GR950043, 566, 85316," LICEUL ""UDRISTE NASTUREL"" HOTARELE", GR, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator avansat, 5.9, , 5.9, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 5.75, , 5.75, GEOGRAFIE, 6.8, , 6.8, Utilizator nivel mediu, 6.15, REUSIT
5, GR952250, 1118, 111906," LICEUL ""UDRISTE NASTUREL"" HOTARELE", GR, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator nivel mediu, 5.3, , 5.3, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 3.15, , 3.15, GEOGRAFIE, 6.85, , 6.85, Utilizator avansat, , RESPINS
6, GR952301, 660, 92358," LICEUL TEHNOLOGIC ""DIMITRIE BOLINTINEANU"" BOLINTIN VALE", GR, DA, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.35, , 5.35, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 5.95, , 5.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.4, 5.6, 5.6,  , 5.63, RESPINS
7, GR952351, 670, 92825," LICEUL TEHNOLOGIC ""DIMITRIE BOLINTINEANU"" BOLINTIN VALE", GR, DA, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.25, , 5.25, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA MATE-INFO, 5, , 5, BIOLOGIE VEGETALA SI ANIMALA, 7.15, 6.5, 6.5, Utilizator experimentat, 5.58, RESPINS
8, GR952463, 1119, 111907," LICEUL TEHNOLOGIC ""DIMITRIE BOLINTINEANU"" BOLINTIN VALE", GR, DA, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 3.5, 3.8, 3.8, Utilizator experimentat, , RESPINS
9, GR952753, 639, 91499," LICEUL TEHNOLOGIC ""DIMITRIE BOLINTINEANU"" BOLINTIN VALE", GR, DA, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 6.4, , 6.4, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA MATE-INFO, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.25, 5.75, 5.75, Utilizator avansat, 5.71, RESPINS
