,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, B1028195, 10810, 87637," COLEGIUL ECONOMIC ""VIILOR""", B, NU, ZI, TEHNICIAN IN GASTRONOMIE, Utilizator avansat, 6.15, , 6.15, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 6.3, , 6.3, GEOGRAFIE, 6.55, , 6.55, Utilizator avansat, 6.33, REUSIT
1, B1028202, 5044, 35632," COLEGIUL NATIONAL ""OCTAV ONICESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 6.8, 7.55, 7.55, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.8, , 9.8, INFORMATICA MI C/C++, 7.7, 8.65, 8.65, Utilizator experimentat, 8.66, REUSIT
2, B1028204, 4785, 33643," LICEUL TEORETIC ""DANTE ALIGHIERI""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.7, , 7.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9, , 9,  , 8.73, REUSIT
3, B1028209, 4902, 34638," COLEGIUL NATIONAL ""SPIRU HARET""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 9.05, 9.25, 9.25, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.5, , 9.5, INFORMATICA MI C/C++, 8, 7.35, 7.35, Utilizator experimentat, 8.7, REUSIT
4, B1028213, 2817, 18470," LICEUL TEOLOGIC ADVENTIST ""STEFAN DEMETRESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 6.25, 8.15, 8.15, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 9.8, , 9.8, FIZICA TEO, 9.7, , 9.7, Utilizator experimentat, 9.21, REUSIT
5, B1028220, 464, 2527," COLEGIUL NATIONAL ""GRIGORE MOISIL""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 9.9, , 9.9, ,  , , , , LIMBA ENGLEZA,  , ISTORIE, 10, , 10," LOGICA, ARGUMENTARE SI COMUNICARE", 9.45, , 9.45, Utilizator experimentat, 9.78, REUSIT
6, B1028232, 5998, 43748," LICEUL TEORETIC ""ALEXANDRU IOAN CUZA""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.7, , 9.7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.6, , 9.6, INFORMATICA MI C/C++, 5.85, , 5.85, Utilizator experimentat, 8.38, REUSIT
7, B1028250, 13228, 107200," LICEUL TEORETIC ""DECEBAL""", B, DA, ZI, STIINTE SOCIALE, Utilizator nivel mediu, 3.6, 3.1, 3.1, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, ISTORIE, 5.4, , 5.4, GEOGRAFIE, 3, 2.85, 2.85, Utilizator avansat, , RESPINS
8, B1028254, 13229, 107201," COLEGIUL TEHNIC ""IULIU MANIU""", B, NU, ZI, TEHNICIAN TRANSPORTURI, Utilizator experimentat, 7.95, , 7.95, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 6.1, , 6.1, FIZICA TEH, 3.05, , 3.05, Utilizator experimentat, , RESPINS
9, B1028258, 1705, 10658," LICEUL TEOLOGIC ADVENTIST ""STEFAN DEMETRESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.5, 8.7, 8.7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.7, , 9.7, FIZICA TEO, 10, , 10, Utilizator experimentat, 9.46, REUSIT
10, B1028262, 2601, 16854," COLEGIUL NATIONAL ""SPIRU HARET""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 9.15, , 9.15, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.65, , 9.65, INFORMATICA MI C/C++, 9, , 9,  , 9.26, REUSIT
11, B1028266, 13230, 107202," COLEGIUL NATIONAL ""OCTAV ONICESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.6, , 5.6, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 5.1, 5.1, 5.1, INFORMATICA MI C/C++, 3.9, 4.5, 4.5, Utilizator experimentat, , RESPINS
12, B1028268, 6393, 47239," LICEUL TEORETIC ""NICHITA STANESCU""", B, NU, ZI, STIINTE SOCIALE, Utilizator nivel mediu, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 8.35, , 8.35, GEOGRAFIE, 9.7, , 9.7, Utilizator experimentat, 8.25, REUSIT
13, B1028269, 13231, 107203," LICEUL TEORETIC ""DANTE ALIGHIERI""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 4.85, , 4.85, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 4.15, , 4.15," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 2.4, , 2.4, Utilizator experimentat, , RESPINS
14, B1028273, 9294, 73500," COLEGIUL ECONOMIC ""VIILOR""", B, NU, ZI, TEHNICIAN IN GASTRONOMIE, Utilizator nivel mediu, 5.35, 5.55, 5.55, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 7, , 7, GEOGRAFIE, 8.65, , 8.65, Utilizator experimentat, 7.06, REUSIT
15, B1028287, 3973, 27239," LICEUL TEOLOGIC ADVENTIST ""STEFAN DEMETRESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.25, 9.5, 9.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.35, , 7.35," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 10, , 10, Utilizator experimentat, 8.95, REUSIT
16, B1028290, 265, 1432," COLEGIUL NATIONAL ""GRIGORE MOISIL""", B, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 9.7, , 9.7, ,  , , , , LIMBA ENGLEZA,  , ISTORIE, 10, , 10, SOCIOLOGIE, 9.85, , 9.85,  , 9.85, REUSIT
17, B1028292, 11081, 90099," COLEGIUL NATIONAL ""OCTAV ONICESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 6.4, , 6.4, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA MATE-INFO, 6.65, , 6.65, FIZICA TEO, 5.6, , 5.6, Utilizator experimentat, 6.21, REUSIT
18, B1028294, 1225, 7243," COLEGIUL NATIONAL ""SPIRU HARET""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 9.65, , 9.65, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.6, , 9.6, INFORMATICA MI C/C++, 9.5, , 9.5, Utilizator experimentat, 9.58, REUSIT
19, B1028302, 13232, 107204, SEMINARUL TEOLOGIC ORTODOX, B, NU, ZI, TEOLOGIE ORTODOXA, Utilizator nivel mediu, 5.35, , 5.35, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 3.3, , 3.3, GEOGRAFIE, 4.5, , 4.5, Utilizator experimentat, , RESPINS
20, B1028322, 8987, 70573," LICEUL TEORETIC ""ALEXANDRU IOAN CUZA""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 6.35, , 6.35," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.6, , 8.6,  , 7.21, REUSIT
21, B1028325, 11990, 98053," COLEGIUL NATIONAL ""OCTAV ONICESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.75, 6.15, 6.15, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 5, , 5, CHIMIE ORGANICA TEO NIVEL I/II, 6.15, 6.15, 6.15, Utilizator experimentat, 5.76, RESPINS
22, B1028326, 8385, 64836," LICEUL TEORETIC ""DANTE ALIGHIERI""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 9.3, , 9.3, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.2, , 8.2, Utilizator experimentat, 7.5, REUSIT
23, B1028328, 2736, 17906," COLEGIUL NATIONAL ""SPIRU HARET""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.6, , 9.6, INFORMATICA MI C/C++, 8.6, , 8.6, Utilizator experimentat, 9.23, REUSIT
24, B1028333, 7308, 55283," LICEUL TEOLOGIC ADVENTIST ""STEFAN DEMETRESCU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 7.15, , 7.15, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 8.8, , 8.8, FIZICA TEO, 7.85, , 7.85, Utilizator experimentat, 7.93, REUSIT
25, B1028342, 2518, 16338," COLEGIUL NATIONAL ""GRIGORE MOISIL""", B, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 9, , 9, ,  , , , , LIMBA ENGLEZA,  , ISTORIE, 9.7, , 9.7," LOGICA, ARGUMENTARE SI COMUNICARE", 9.15, , 9.15, Utilizator experimentat, 9.28, REUSIT
26, B1028346, 17006, 148349," LICEUL TEORETIC ""DR. CONSTANTIN ANGELESCU""", B, DA, ZI, FILOLOGIE, Utilizator avansat, -2, , -2, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 4.1, , 4.1, GEOGRAFIE, 3.7, , 3.7, Utilizator avansat, , NEPREZENTAT
27, B1028347, 13233, 107205," COLEGIUL TEHNIC ""CAROL I""", B, DA, SERAL, TEHNICIAN ELECTROMECANIC, Utilizator nivel mediu, 5, , 5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 1, , 1, FIZICA TEH, 1.9, , 1.9, Utilizator avansat, , RESPINS
28, B1028351, 13234, 107206," LICEUL ""PROFESIA""", B, DA, FRECVENTA REDUSA, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator nivel mediu, 3.75, 3.7, 3.7, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 1.9, , 1.9, GEOGRAFIE, 5.05, 5.4, 5.4, Utilizator incepator, , RESPINS
