,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, AR921539, 1176, 66976," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.05, , 7.05, LIMBA MAGHIARA (REAL), Utilizator experimentat, 6.75, , 6.75, LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA MATE-INFO, 6.95, , 6.95, CHIMIE ANORGANICA TEO NIVEL I/II, 7.6, , 7.6,  , 7.08, Reusit
1, AR921540, 584, 36753," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.6, , 7.6, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.3, , 9.3, LIMBA ENGLEZA, B1-B1-A2-B1-B1, MATEMATICA MATE-INFO, 7, , 7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.8, , 9.8,  , 8.42, Reusit
2, AR921541, 2711, 99019," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator avansat, 3.05, , 3.05, LIMBA MAGHIARA (REAL), Utilizator avansat, 5.25, , 5.25, LIMBA ENGLEZA, B2-B1-A2-B2-B2, MATEMATICA MATE-INFO, 6.05, , 6.05, INFORMATICA MI C/C++, 4.6, , 4.6, Utilizator avansat, , Respins
3, AR921542, 1157, 66238," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 5.85, , 5.85, LIMBA MAGHIARA (REAL), Utilizator experimentat, 7.45, , 7.45, LIMBA ENGLEZA, B1-A2-A2-B1-B1, MATEMATICA ST-NAT, 8.3, , 8.3," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.9, , 6.9, Utilizator avansat, 7.12, Reusit
4, AR921543, 846, 50440," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 6.6, , 6.6, LIMBA MAGHIARA (REAL), Utilizator experimentat, 8.5, , 8.5, LIMBA ENGLEZA, B1-B2-B1-B2-B2, MATEMATICA ST-NAT, 6.5, , 6.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.8, , 9.8, Utilizator nivel mediu, 7.85, Reusit
5, AR921544, 468, 28970," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8.35, , 8.35, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.25, , 9.25, LIMBA ENGLEZA,  , MATEMATICA ST-NAT, 7.9, , 7.9, CHIMIE ANORGANICA TEO NIVEL I/II, 9.4, , 9.4,  , 8.72, Reusit
6, AR921545, 2712, 99020," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator avansat, 5.35, , 5.35, LIMBA MAGHIARA (REAL), Utilizator experimentat, 7.55, , 7.55, LIMBA ENGLEZA, B2-B1-B1-B1-B1, MATEMATICA ST-NAT, 4, 4.05, 4.05," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.65, , 7.65, Utilizator nivel mediu, , Respins
7, AR921546, 1523, 82034," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator avansat, 6.2, , 6.2, LIMBA MAGHIARA (REAL), Utilizator experimentat, 7.05, , 7.05, LIMBA ENGLEZA, B2-B2-B1-B2-B2, MATEMATICA ST-NAT, 5.05, , 5.05," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.95, , 6.95,  , 6.31, Reusit
8, AR921547, 513, 31634," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8, , 8, LIMBA MAGHIARA (REAL), Utilizator experimentat, 9.05, , 9.05, LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 8.3, , 8.3, CHIMIE ANORGANICA TEO NIVEL I/II, 9.1, , 9.1,  , 8.61, Reusit
9, AR921548, 856, 51119," COLEGIUL""CSIKY GERGELY"" ARAD", AR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8.2, , 8.2, LIMBA MAGHIARA (REAL), Utilizator experimentat, 8.1, , 8.1, LIMBA ENGLEZA, B1-B2-B2-B2-B2, MATEMATICA ST-NAT, 7.4, , 7.4," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.6, , 7.6,  , 7.82, Reusit
