,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, SV1176843, 4811, 122780, LICEUL CU PROGRAM SPORTIV SUCEAVA, SV, DA, ZI, LICEU CU PROGRAM SPORTIV, Utilizator avansat, 6.15, , 6.15, ,  , , , , LIMBA ENGLEZA, A1-A2--A1-A1, ISTORIE, 5.2, 4.7, 4.7, GEOGRAFIE, 6.1, , 6.1, Utilizator incepator, , RESPINS
1, SV1178545, 3351, 83778, LICEUL TEHNOLOGIC SPECIAL BIVOLARIE, SV, DA, ZI, TEHNICIAN TRANSPORTURI, Utilizator nivel mediu, 5.1, , 5.1, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 7.15, , 7.15, CHIMIE ANORGANICA TEH NIVEL I/II, 6.45, , 6.45, Utilizator experimentat, 6.23, REUSIT
2, SV1182300, 2899, 72265," COLEGIUL TEHNIC ""SAMUIL ISOPESCU"" SUCEAVA", SV, NU, ZI, FILOLOGIE, Utilizator experimentat, 6.75, , 6.75, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 5.2, , 5.2, GEOGRAFIE, 8.55, , 8.55, Utilizator avansat, 6.83, REUSIT
3, SV133276, 3694, 93164," LICEUL TEHNOLOGIC ""ION NISTOR"" VICOVU DE SUS", SV, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 6.15, , 6.15, ,  , , , , LIMBA ENGLEZA, B1-A2-B1-B1-A2, MATEMATICA ST-NAT, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.85, 5.5, 5.5, Utilizator avansat, 5.55, RESPINS
4, SV137797, 3352, 83779, LICEUL TEHNOLOGIC NR. 1 CAMPULUNG MOLDOVENESC, SV, DA, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 7.1, , 7.1, ,  , , , , LIMBA ENGLEZA, B2-B2-A2-B1-B1, MATEMATICA TEHN, 5, , 5, GEOGRAFIE, 6.6, , 6.6, Utilizator avansat, 6.23, REUSIT
5, SV142939, 4812, 122781," COLEGIUL TEHNIC ""ALEXANDRU IOAN CUZA"" SUCEAVA", SV, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 5.75, , 5.75, ,  , , , , LIMBA FRANCEZA, B1-A2-A2-A2-A2, MATEMATICA ST-NAT, 1, , 1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.1, , 8.1, Utilizator nivel mediu, , RESPINS
6, SV145351, 3749, 94927," LICEUL TEHNOLOGIC ""ION NISTOR"" VICOVU DE SUS", SV, DA, FRECVENTA REDUSA, STIINTE SOCIALE, Utilizator nivel mediu, 5, , 5, ,  , , , , LIMBA ENGLEZA, B1-B2-A2-B2-B2, ISTORIE, 5, , 5, GEOGRAFIE, 5.6, , 5.6, Utilizator incepator, 5.2, RESPINS
7, SV147582, 4813, 122782," COLEGIUL NATIONAL DE INFORMATICA ""SPIRU HARET"" SUCEAVA", SV, DA, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.4, , 9.4, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 2.65, 2.85, 2.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.9, , 7.9, Utilizator experimentat, , RESPINS
8, SV154450, 4814, 122783," COLEGIUL ""VASILE LOVINESCU"" FALTICENI", SV, DA, ZI, TEHNICIAN MECANIC PENTRU INTRETINERE SI REPARATII, Utilizator avansat, 6.5, , 6.5, ,  , , , , LIMBA FRANCEZA, B1-A2-A1-A2-B1, MATEMATICA TEHN, 5, , 5, FIZICA TEH, 3.3, , 3.3, Utilizator nivel mediu, , RESPINS
9, SV154864, 4815, 122784," COLEGIUL NATIONAL ""DRAGOS VODA"" CAMPULUNG MOLDOVENESC", SV, DA, ZI, STIINTE SOCIALE, Utilizator avansat, 3.95, , 3.95, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-A1-A1, ISTORIE, 6.3, , 6.3, GEOGRAFIE, 6, , 6, Utilizator nivel mediu, , RESPINS
