,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, TL1010693, 900, 142280, LICEUL TEHNOLOGIC MACIN, TL, DA, ZI, TEHNICIAN IN INDUSTRIA TEXTILA, Utilizator experimentat, 7.35, , 7.35, ,  , , , , LIMBA FRANCEZA, B1-B1-A2-B1-B1, MATEMATICA TEHN, 1.15, , 1.15, FIZICA TEH, 2.2, , 2.2, Utilizator incepator, , RESPINS
1, TL1010697, 901, 142281," COLEGIUL ECONOMIC ""DELTA DUNARII"" TULCEA", TL, NU, ZI, TEHNICIAN IN GASTRONOMIE, Utilizator nivel mediu, 5.05, , 5.05, ,  , , , , LIMBA FRANCEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 1, , 1, GEOGRAFIE, 7.75, , 7.75, Utilizator incepator, , RESPINS
2, TL1010757, 159, 24401," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 8.05, , 8.05, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.6, , 9.6," LOGICA, ARGUMENTARE SI COMUNICARE", 9.5, , 9.5, Utilizator experimentat, 9.05, REUSIT
3, TL1010823, 473, 62607," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator nivel mediu, 6.8, , 6.8, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, ISTORIE, 7.6, , 7.6," LOGICA, ARGUMENTARE SI COMUNICARE", 8.45, , 8.45, Utilizator avansat, 7.61, REUSIT
4, TL1010888, 148, 23303," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 9.2, , 9.2, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 9.8, , 9.8," LOGICA, ARGUMENTARE SI COMUNICARE", 8.25, , 8.25, Utilizator experimentat, 9.08, REUSIT
5, TL1010964, 427, 57081," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator nivel mediu, 6.4, , 6.4, ,  , , , , LIMBA FRANCEZA, A1-A1-A1-A1-A1, ISTORIE, 8.3, , 8.3, GEOGRAFIE, 8.9, , 8.9, Utilizator avansat, 7.86, REUSIT
6, TL1011032, 114, 19446," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator avansat, 9.1, , 9.1, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, ISTORIE, 9.5, , 9.5," LOGICA, ARGUMENTARE SI COMUNICARE", 9, , 9, Utilizator experimentat, 9.2, REUSIT
7, TL1011125, 1359, 154391," LICEUL TEHNOLOGIC ""BRAD SEGAL"" TULCEA", TL, NU, ZI, TEHNICIAN IN INDUSTRIA ALIMENTARA, Utilizator nivel mediu, -2, , -2, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, -2, , -2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", -2, , -2, Utilizator nivel mediu, , NEPREZENTAT
8, TL1011168, 1360, 154392, LICEUL TEHNOLOGIC MACIN, TL, DA, ZI, TEHNICIAN INSTALATOR PENTRU CONSTRUCTII, Utilizator nivel mediu, -2, , -2, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 1.5, , 1.5, CHIMIE ANORGANICA TEH NIVEL I/II, -2, , -2, Utilizator avansat, , NEPREZENTAT
9, TL1011196, 74, 13167," LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MACIN", TL, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.8, 9, 9, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.8, , 9.8," LOGICA, ARGUMENTARE SI COMUNICARE", 9.4, , 9.4, Utilizator experimentat, 9.4, REUSIT
