,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, BR828671, 647, 46330," LICEUL TEORETIC ""NICOLAE IORGA""", BR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.65, , 7.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.85, , 8.85, INFORMATICA MI C/C++, 7.6, , 7.6, Utilizator experimentat, 8.03, Reusit
1, BR828723, 275, 21054," LICEUL TEORETIC ""NICOLAE IORGA""", BR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.6, , 8.6, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.95, , 8.95, FIZICA TEO, 9.5, , 9.5, Utilizator experimentat, 9.01, Reusit
2, BR828736, 276, 21055," COLEGIUL NATIONAL ""ANA ASLAN""", BR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8.55, , 8.55, ,  , , , , LIMBA ENGLEZA, A2-B1-B2-B1-B1, MATEMATICA ST-NAT, 9.25, , 9.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.25, , 9.25, Utilizator avansat, 9.01, Reusit
3, BR828793, 764, 54128," COLEGIUL NATIONAL ""ANA ASLAN""", BR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8.2, , 8.2, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-B2-B2, MATEMATICA ST-NAT, 7.7, , 7.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.15, , 7.15, Utilizator avansat, 7.68, Reusit
4, BR828821, 462, 33909," LICEUL TEORETIC ""NICOLAE IORGA""", BR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7, 8.85, 8.85, ,  , , , , LIMBA ENGLEZA, B2-B1-B2-B2-B2, MATEMATICA MATE-INFO, 8.65, , 8.65, INFORMATICA MI C/C++, 8.1, , 8.1, Utilizator experimentat, 8.53, Reusit
5, BR828890, 414, 30425," LICEUL TEORETIC ""NICOLAE IORGA""", BR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.55, , 8.55, ,  , , , , LIMBA ENGLEZA, B1-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.3, , 9.3, BIOLOGIE VEGETALA SI ANIMALA, 8.15, , 8.15, Utilizator nivel mediu, 8.66, Reusit
6, BR828933, 739, 52338," LICEUL TEORETIC ""NICOLAE IORGA""", BR, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 5.5, , 5.5, ,  , , , , LIMBA ENGLEZA, B1-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.95, , 8.95, CHIMIE ORGANICA TEO NIVEL I/II, 8.85, , 8.85, Utilizator nivel mediu, 7.76, Reusit
7, BR828948, 92, 7452," COLEGIUL NATIONAL ""ANA ASLAN""", BR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 8.55, , 8.55, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 10, , 10," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 10, , 10, Utilizator experimentat, 9.51, Reusit
8, BR829010, 789, 56349," COLEGIUL NATIONAL ""ANA ASLAN""", BR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 6.45, 6.85, 6.85, ,  , , , , LIMBA ENGLEZA, A2-A2-B2-B2-B2, MATEMATICA ST-NAT, 6.5, , 6.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.4, , 9.4, Utilizator avansat, 7.58, Reusit
9, BR829057, 1024, 72628," COLEGIUL NATIONAL ""ANA ASLAN""", BR, NU, Zi, STIINTE ALE NATURII, Utilizator experimentat, 5.35, , 5.35, ,  , , , , LIMBA ENGLEZA, B2-B1-B2-B2-B2, MATEMATICA ST-NAT, 7.5, , 7.5, FIZICA TEO, 7.55, , 7.55, Utilizator avansat, 6.8, Reusit
