,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, AG1164191, 2143, 64177," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 6.85, 6.8, 6.8, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.5, , 6.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.25, 8.4, 8.4, Utilizator experimentat, 7.23, REUSIT
1, AG1164192, 2131, 63848," COLEGIUL NATIONAL ""ZINCA GOLESCU"" PITESTI", AG, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 6.75, , 6.75, ,  , , , , LIMBA FRANCEZA, B2-B2-B2-B2-B2, ISTORIE, 6.7, , 6.7, GEOGRAFIE, 8.3, , 8.3, Utilizator experimentat, 7.25, REUSIT
2, AG1164210, 1825, 55315," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 6.8, 7.2, 7.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 6.65, , 6.65," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.1, 9.1, 9.1, Utilizator experimentat, 7.65, REUSIT
3, AG1164235, 2183, 65490," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 8.55, 8.25, 8.25, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 5.05, , 5.05, CHIMIE ORGANICA TEO NIVEL I/II, 8.2, , 8.2, Utilizator experimentat, 7.16, REUSIT
4, AG1164237, 1242, 37914," COLEGIUL NATIONAL ""ZINCA GOLESCU"" PITESTI", AG, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 8.1, , 8.1, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 8, , 8," LOGICA, ARGUMENTARE SI COMUNICARE", 9.05, , 9.05, Utilizator experimentat, 8.38, REUSIT
5, AG1164291, 2449, 72659," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 7.55, , 7.55, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 5.5, , 5.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.35, , 7.35, Utilizator experimentat, 6.8, REUSIT
6, AG1164311, 4059, 96498," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 8.25, , 8.25, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 3.25, 2.95, 2.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.05, , 7.05, Utilizator experimentat, , RESPINS
7, AG1164333, 4060, 96499," COLEGIUL ECOLOGIC ""PROF.UNIV.DR. ALEXANDRU IONESCU"" PITESTI", AG, NU, FRECVENTA REDUSA, STIINTE SOCIALE, Utilizator avansat, 3.75, , 3.75, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 4.25, , 4.25, SOCIOLOGIE, 6, , 6, Utilizator experimentat, , RESPINS
8, AG1164692, 4061, 96500," LICEUL TEORETIC ""IULIA ZAMFIRESCU"" MIOVENI", AG, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 5.9, , 5.9, ,  , , , , LIMBA ENGLEZA, B1-B1-A1-A1-A1, MATEMATICA ST-NAT, 5, , 5, BIOLOGIE VEGETALA SI ANIMALA, 2.45, , 2.45, Utilizator avansat, , RESPINS
9, AG1164785, 4398, 127094," LICEUL TEHNOLOGIC ""VICTOR SLAVESCU"" RUCAR", AG, DA, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 5, , 5, ,  , , , , LIMBA ENGLEZA, B2-B2-B1-B2-B2, MATEMATICA TEHN, -2, , -2," LOGICA, ARGUMENTARE SI COMUNICARE", -2, , -2, Utilizator nivel mediu, , NEPREZENTAT
10, AG1164988, 515, 15617," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 7.45, 8.25, 8.25, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.6, , 9.6," LOGICA, ARGUMENTARE SI COMUNICARE", 9.7, , 9.7, Utilizator experimentat, 9.18, REUSIT
11, AG1165009, 247, 8185," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 9.65, , 9.65, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 9.05, , 9.05," LOGICA, ARGUMENTARE SI COMUNICARE", 9.55, 9.65, 9.65, Utilizator experimentat, 9.45, REUSIT
12, AG1165023, 2132, 63849," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 5.8, 6.65, 6.65, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 6, , 6," LOGICA, ARGUMENTARE SI COMUNICARE", 8.8, 9.1, 9.1, Utilizator experimentat, 7.25, REUSIT
13, AG1165034, 4062, 96501," LICEUL TEHNOLOGIC ""DACIA"" PITESTI", AG, NU, ZI, TEHNICIAN TRANSPORTURI, Utilizator nivel mediu, 5.2, , 5.2, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 1.5, , 1.5, BIOLOGIE VEGETALA SI ANIMALA, 2.75, , 2.75, Utilizator avansat, , RESPINS
14, AG1165044, 1328, 40458," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.6, , 9.6," LOGICA, ARGUMENTARE SI COMUNICARE", 8.55, , 8.55, Utilizator experimentat, 8.28, REUSIT
15, AG1165061, 2882, 83477," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator avansat, 6.65, , 6.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 5.6, , 5.6," LOGICA, ARGUMENTARE SI COMUNICARE", 6.45, , 6.45, Utilizator experimentat, 6.23, REUSIT
16, AG1165074, 516, 15618," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 8.5, , 8.5, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 9.25, , 9.25," LOGICA, ARGUMENTARE SI COMUNICARE", 9.8, , 9.8, Utilizator experimentat, 9.18, REUSIT
17, AG1165096, 1872, 56408," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 8.05, , 8.05, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 7.55, , 7.55," LOGICA, ARGUMENTARE SI COMUNICARE", 7.2, , 7.2, Utilizator experimentat, 7.6, REUSIT
18, AG1165115, 2691, 78663," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator avansat, 5.1, , 5.1, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 6.6, , 6.6," LOGICA, ARGUMENTARE SI COMUNICARE", 7.75, , 7.75, Utilizator experimentat, 6.48, REUSIT
19, AG1165131, 744, 22544," LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI", AG, NU, ZI, FILOLOGIE, Utilizator experimentat, 9.35, 9.45, 9.45, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9.5, , 9.5," LOGICA, ARGUMENTARE SI COMUNICARE", 7.9, , 7.9, Utilizator experimentat, 8.95, REUSIT
20, AG1165134, 4063, 96502," LICEUL TEHNOLOGIC ""DACIA"" PITESTI", AG, NU, ZI, TEHNICIAN TRANSPORTURI, Utilizator nivel mediu, 4, 4.8, 4.8, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 1.45, , 1.45, BIOLOGIE VEGETALA SI ANIMALA, 2, , 2, Utilizator avansat, , RESPINS
