,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, CT1102472, 334, 11070, LICEUL TEORETIC â€™TRAIANâ€™ CONSTANTA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.05, 9.2, 9.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.55, , 9.55, FIZICA TEO, 9.3, , 9.3, Utilizator experimentat, 9.35, REUSIT
1, CT1102486, 2227, 63965, LICEUL CU PROGRAM SPORTIV â€™NICOLAE ROTARUâ€™ CONSTANTA, CT, NU, ZI, LICEU CU PROGRAM SPORTIV, Utilizator avansat, 7.35, , 7.35, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 5.8, , 5.8, GEOGRAFIE, 8.6, , 8.6, Utilizator experimentat, 7.25, REUSIT
2, CT1102552, 546, 17775, LICEUL TEORETIC â€™IOAN COTOVUâ€™ HARSOVA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.55, , 9.55, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.3, , 8.3," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.5, 9.5, 9.5, Utilizator experimentat, 9.11, REUSIT
3, CT1102557, 1380, 41837, LICEUL TEORETIC â€™TRAIANâ€™ CONSTANTA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 6.05, 6.5, 6.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.7, , 8.7, INFORMATICA MI C/C++, 9.1, 9.5, 9.5, Utilizator experimentat, 8.23, REUSIT
4, CT1102601, 1163, 35079, LICEUL TEORETIC â€™OVIDIUSâ€™ CONSTANTA, CT, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.1, , 9.1, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.45, , 9.45, FIZICA TEO, 6.95, , 6.95,  , 8.5, REUSIT
5, CT1102686, 1027, 31005, LICEUL TEORETIC â€™IOAN COTOVUâ€™ HARSOVA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.65, , 8.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 8.1, , 8.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.2, , 9.2, Utilizator experimentat, 8.65, REUSIT
6, CT1102687, 194, 7120, LICEUL TEORETIC â€™TRAIANâ€™ CONSTANTA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.45, , 9.45, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.3, 9.4, 9.4, INFORMATICA MI C/C++, 9.6, 9.65, 9.65, Utilizator experimentat, 9.5, REUSIT
7, CT1102697, 123, 4828, LICEUL TEORETIC â€™OVIDIUSâ€™ CONSTANTA, CT, NU, ZI, STIINTE ALE NATURII, Utilizator experimentat, 9.65, , 9.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA ST-NAT, 9.7, , 9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.9, 9.45, 9.45, Utilizator experimentat, 9.6, REUSIT
8, CT1102771, 2166, 62580, LICEUL TEORETIC â€™IOAN COTOVUâ€™ HARSOVA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 8.1, , 8.1, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.85, , 7.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6, , 6, Utilizator experimentat, 7.31, REUSIT
9, CT1102778, 2992, 84299, LICEUL TEORETIC NEGRU VODA, CT, NU, ZI, STIINTE SOCIALE, Utilizator experimentat, 6.9, , 6.9, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 5.3, , 5.3, GEOGRAFIE, 6.4, , 6.4, Utilizator experimentat, 6.2, REUSIT
