,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, DJ859871, 2463, 83641, LICEUL TEHNOLOGIC TRANSPORTURI CAI FERATE CRAIOVA, DJ, DA, ZI, LICEU CU PROGRAM SPORTIV, Utilizator experimentat, 5.95, , 5.95, ,  , , , , LIMBA ENGLEZA, A2-A1--A2-A2, ISTORIE, 5.3, , 5.3, GEOGRAFIE, 7.45, , 7.45, Utilizator experimentat, 6.23, REUSIT
1, DJ862260, 3816, 109815," LICEUL TEHNOLOGIC ""PETRE BANITA"" CALARASI", DJ, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator avansat, 6.3, , 6.3, ,  , , , , LIMBA FRANCEZA, A2-A2--A2-A2, MATEMATICA TEHN, 3.25, , 3.25, GEOGRAFIE, 5.5, , 5.5, Utilizator avansat, , RESPINS
2, DJ862311, 4175, 129804," LICEUL TEHNOLOGIC ""PETRE BANITA"" CALARASI", DJ, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator experimentat, 5.3, , 5.3, ,  , , , , LIMBA FRANCEZA, A2-A2--A2-A2, MATEMATICA TEHN, -2, , -2, GEOGRAFIE, -2, , -2, Utilizator nivel mediu, , NEPREZENTAT
3, DJ875789, 3817, 109816," LICEUL TEHNOLOGIC UCECOM ""SPIRU HARET"" CRAIOVA", DJ, DA, ZI, TEHNICIAN IN ACTIVITATI ECONOMICE, Utilizator avansat, 3.5, 4.3, 4.3, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 6.1, , 6.1, GEOGRAFIE, 8.3, , 8.3, Utilizator avansat, , RESPINS
4, DJ876586, 1907, 64312, LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO CRAIOVA, DJ, DA, ZI, TEHNICIAN TRANSPORTURI, Utilizator experimentat, 7, , 7, ,  , , , , LIMBA ENGLEZA, B2-B1-A2-B2-B2, MATEMATICA TEHN, 7.75, , 7.75, BIOLOGIE VEGETALA SI ANIMALA, 6.95, , 6.95, Utilizator nivel mediu, 7.23, REUSIT
5, DJ876627, 3818, 109817, LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO CRAIOVA, DJ, DA, ZI, TEHNICIAN TRANSPORTURI, Utilizator nivel mediu, 2.9, , 2.9, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 1.5, , 1.5, FIZICA TEH, 3.35, , 3.35, Utilizator experimentat, , RESPINS
6, DJ879223, 2710, 93503," LICEUL TEHNOLOGIC ""STEFAN MILCU"" CALAFAT", DJ, DA, ZI, TEHNICIAN VETERINAR, Utilizator avansat, 5, , 5, ,  , , , , LIMBA ENGLEZA, B2-B1--B1-B1, MATEMATICA TEHN, 5, , 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.5, , 6.5,  , 5.5, RESPINS
7, DJ880169, 3819, 109818, LICEUL TEORETIC AMARASTII DE JOS, DJ, DA, ZI, STIINTE ALE NATURII, Utilizator avansat, 5.55, , 5.55, ,  , , , , LIMBA FRANCEZA, A1-A2-A1-B1-B1, MATEMATICA ST-NAT, 2.2, , 2.2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.75, , 6.75, Utilizator nivel mediu, , RESPINS
8, DJ880214, 2364, 80383," LICEUL TEHNOLOGIC ""STEFAN MILCU"" CALAFAT", DJ, DA, ZI, TEHNICIAN IN ACTIVITATI DE COMERT, Utilizator nivel mediu, 5.25, , 5.25, ,  , , , , LIMBA FRANCEZA, A2-A1--A2-A2, MATEMATICA TEHN, 6.15, , 6.15, GEOGRAFIE, 7.8, , 7.8,  , 6.4, REUSIT
9, DJ88989, 4176, 129805, LICEUL DE INDUSTRIE ALIMENTARA CRAIOVA, DJ, DA, ZI, TEHNICIAN ANALIZE PRODUSE ALIMENTARE, Utilizator avansat, -2, , -2, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-B1-B2, MATEMATICA TEHN, -2, , -2, BIOLOGIE VEGETALA SI ANIMALA, -2, , -2, Utilizator nivel mediu, , NEPREZENTAT
10, DJ892519, 3820, 109819," LICEUL TEHNOLOGIC ""CONSTANTIN IANCULESCU"" CARCEA", DJ, DA, SERAL, TEHNICIAN TRANSPORTURI, Utilizator experimentat, 3.1, , 3.1, ,  , , , , LIMBA ENGLEZA, A2-A2--B1-B1, MATEMATICA TEHN, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 1.6, , 1.6, Utilizator incepator, , RESPINS
11, DJ895210, 2734, 94125," LICEUL TEHNOLOGIC ""STEFAN ODOBLEJA"" CRAIOVA", DJ, DA, ZI, STIINTE SOCIALE, Utilizator avansat, 5.15, , 5.15, ,  , , , , LIMBA ENGLEZA, -A1--A1-A1, ISTORIE, 5.15, , 5.15," LOGICA, ARGUMENTARE SI COMUNICARE", 5.9, , 5.9, Utilizator incepator, 5.4, RESPINS
12, DJ895505, 2731, 94048, LICEUL TEORETIC BECHET, DJ, DA, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 6.05, , 6.05, ,  , , , , LIMBA ENGLEZA, A1-A2--A2-A1, MATEMATICA MATE-INFO, 4.7, 5, 5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.2, , 5.2, Utilizator avansat, 5.41, RESPINS
