,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, TR321368, 2147, 135382," LICEUL TEORETIC ""CONSTANTIN NOICA"" ALEXANDRIA", TR, DA, Zi, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 3.4, , 3.4, ,  , , , , LIMBA ENGLEZA, A1-B1--A2-A2, MATEMATICA MATE-INFO, 2.1, , 2.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", Neprezentat, , Neprezentat, Utilizator nivel mediu, , Neprezentat
1, TR322386, 1132, 81948," LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" ROSIORI DE VEDE", TR, DA, Zi, TEHNICIAN ELECTROTEHNIST, Utilizator avansat, 6.1, , 6.1, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-B1-B2, MATEMATICA TEHN, 6.2, , 6.2, BIOLOGIE VEGETALA SI ANIMALA, 6.7, , 6.7, Utilizator experimentat, 6.33, Reusit
2, TR356798, 1061, 77591, LICEUL TEHNOLOGIC NR. 1 ALEXANDRIA, TR, DA, Zi, TEHNICIAN IN GASTRONOMIE, Utilizator experimentat, 6, , 6, ,  , , , , LIMBA ENGLEZA, A2-B1-A1-B1-B1, MATEMATICA TEHN, 6.9, , 6.9, GEOGRAFIE, 6.75, , 6.75, Utilizator avansat, 6.55, Reusit
3, TR356962, 2148, 135383," LICEUL TEORETIC ""MARIN PREDA"" TURNU MAGURELE", TR, DA, Zi, FILOLOGIE, Utilizator avansat, 5.7, , 5.7, ,  , , , , LIMBA ENGLEZA, A2-A1--A2-A2, ISTORIE, 5.05, , 5.05, GEOGRAFIE, Neprezentat, , Neprezentat, Utilizator incepator, , Neprezentat
4, TR357511, 1483, 126485," LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" ROSIORI DE VEDE", TR, DA, Zi, TEHNICIAN ECOLOG SI PROTECTIA CALITATII MEDIULUI, Utilizator avansat, 3.3, , 3.3, ,  , , , , LIMBA ENGLEZA, B1-B1--A2-A2, MATEMATICA TEHN, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 6.2, , 6.2, Utilizator nivel mediu, , Respins
5, TR364340, 2149, 135384, LICEUL TEORETIC ZIMNICEA, TR, DA, Zi, STIINTE ALE NATURII, Utilizator nivel mediu, Neprezentat, , Neprezentat, ,  , , , , LIMBA ENGLEZA, -A2--A2-A2, MATEMATICA ST-NAT, 1.5, , 1.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5.1, , 5.1, Utilizator incepator, , Neprezentat
6, TR364384, 1484, 126486, LICEUL TEORETIC ZIMNICEA, TR, DA, Zi, STIINTE ALE NATURII, Utilizator avansat, 7, , 7, ,  , , , , LIMBA ENGLEZA, A2-A1-A1-A2-A2, MATEMATICA ST-NAT, 1, , 1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6, , 6, Utilizator incepator, , Respins
7, TR365075, 1270, 88428, LICEUL TEHNOLOGIC NR. 1 ALEXANDRIA, TR, DA, Seral, TEHNICIAN IN ACTIVITATI DE COMERT, Utilizator avansat, 5.2, , 5.2, ,  , , , , LIMBA ENGLEZA, A1-A2--A2-A2, MATEMATICA TEHN, 5.3, , 5.3, GEOGRAFIE, 7.6, , 7.6,  , 6.03, Reusit
8, TR366050, 2150, 135385," LICEUL TEHNOLOGIC ""NICOLAE BALCESCU"" ALEXANDRIA", TR, DA, Zi, TEHNICIAN VETERINAR, Utilizator nivel mediu, Neprezentat, , Neprezentat, ,  , , , , LIMBA ENGLEZA, A1---A1-A1, MATEMATICA TEHN, Neprezentat, , Neprezentat, BIOLOGIE VEGETALA SI ANIMALA, Neprezentat, , Neprezentat,  , , Neprezentat
9, TR370383, 1317, 90349," LICEUL TEORETIC ""CONSTANTIN NOICA"" ALEXANDRIA", TR, DA, Zi, FILOLOGIE, Utilizator experimentat, 5, , 5, ,  , , , , LIMBA ENGLEZA, B1-A2--A1-A2, ISTORIE, 5, , 5, GEOGRAFIE, 7.65, , 7.65, Utilizator nivel mediu, 5.88, Respins
