,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, PH943706, 4917, 138207," LICEUL TEHNOLOGIC ""GHEORGHE IONESCU-SISESTI"", COMUNA VALEA CALUGAREASCA", PH, DA, ZI, TEHNICIAN IN AGRICULTURA, Utilizator nivel mediu, 5, , 5, ,  , , , , LIMBA FRANCEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, 3.5, , 3.5, BIOLOGIE VEGETALA SI ANIMALA, 2.2, , 2.2, Utilizator nivel mediu, , RESPINS
1, PH943712, 1722, 38332," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 8.25, , 8.25, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 8.6, , 8.6," LOGICA, ARGUMENTARE SI COMUNICARE", 8.9, , 8.9, Utilizator experimentat, 8.58, REUSIT
2, PH943730, 2020, 44912," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 8, , 8, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 7.85, , 7.85," LOGICA, ARGUMENTARE SI COMUNICARE", 9.2, , 9.2, Utilizator experimentat, 8.35, REUSIT
3, PH943750, 4025, 99252," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator avansat, 4.8, 5.2, 5.2, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 5.55, , 5.55," LOGICA, ARGUMENTARE SI COMUNICARE", 6.4, 6.3, 6.3, Utilizator experimentat, 5.68, RESPINS
4, PH943766, 2605, 60406," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 6.55, , 6.55, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 8.5, , 8.5," LOGICA, ARGUMENTARE SI COMUNICARE", 7.9, 8.1, 8.1, Utilizator experimentat, 7.71, REUSIT
5, PH943788, 2960, 70122," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 6.75, 6.4, 6.4, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 6.55, , 6.55," LOGICA, ARGUMENTARE SI COMUNICARE", 8.8, , 8.8, Utilizator experimentat, 7.25, REUSIT
6, PH943802, 1474, 32484," LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CAMPINA", PH, NU, ZI, TEHNICIAN IN TURISM, Utilizator experimentat, 8.7, , 8.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 8.15, , 8.15," LOGICA, ARGUMENTARE SI COMUNICARE", 9.5, , 9.5, Utilizator experimentat, 8.78, REUSIT
7, PH943855, 3633, 89305," LICEUL TEHNOLOGIC AGROMONTAN ""ROMEO CONSTANTINESCU"", ORASUL VALENII DE MUNTE", PH, NU, ZI, TEHNICIAN IN ADMINISTRATIE, Utilizator nivel mediu, 6, 6.7, 6.7, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 5.8, 5.95, 5.95," LOGICA, ARGUMENTARE SI COMUNICARE", 6.15, , 6.15, Utilizator nivel mediu, 6.26, REUSIT
8, PH943859, 4918, 138208," LICEUL TEORETIC, COMUNA FILIPESTII DE PADURE", PH, DA, ZI, TEHNICIAN ELECTROMECANIC, Utilizator nivel mediu, 6.6, , 6.6, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, MATEMATICA TEHN, 5.5, , 5.5, BIOLOGIE VEGETALA SI ANIMALA, 2.8, , 2.8, Utilizator avansat, , RESPINS
9, PH943871, 5820, 155584," LICEUL TEHNOLOGIC AGROMONTAN ""ROMEO CONSTANTINESCU"", ORASUL VALENII DE MUNTE", PH, NU, ZI, TEHNICIAN IN ADMINISTRATIE, Utilizator nivel mediu, 6.4, , 6.4, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 2.15, , 2.15," LOGICA, ARGUMENTARE SI COMUNICARE", -1, , -1, Utilizator avansat, , ELIMINAT DIN EXAMEN
