,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, CT1146492, 4175, 106923, LICEUL TEHNOLOGIC DE ELECTROTEHNICA SI TELECOMUNICATII CONSTANTA, CT, NU, ZI, TEHNICIAN DE TELECOMUNICATII, Utilizator avansat, 6.5, , 6.5, ,  , , , , LIMBA FRANCEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 5.9, 6.05, 6.05, BIOLOGIE VEGETALA SI ANIMALA, 3.4, 3.5, 3.5, Utilizator experimentat, , RESPINS
1, CT1146503, 2498, 71161, COLEGIUL NATIONAL â€™MIRCEA CEL BATRANâ€™ CONSTANTA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 7.3, , 7.3, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 6.7, , 6.7, FIZICA TEO, 6.65, , 6.65,  , 6.88, REUSIT
2, CT1146514, 634, 20301, COLEGIUL COMERCIAL â€™CAROL Iâ€™ CONSTANTA, CT, NU, ZI, TEHNICIAN IN ACTIVITATI DE COMERT, Utilizator experimentat, 9.35, , 9.35, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 7.8, 8.25, 8.25, GEOGRAFIE, 9.5, , 9.5, Utilizator experimentat, 9.03, REUSIT
3, CT1146529, 185, 6706, COLEGIUL NATIONAL â€™MIHAI EMINESCUâ€™ CONSTANTA, CT, NU, ZI, FILOLOGIE, Utilizator experimentat, 8.55, , 8.55, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 10, , 10," LOGICA, ARGUMENTARE SI COMUNICARE", 10, , 10, Utilizator experimentat, 9.51, REUSIT
4, CT1146552, 775, 23671, COLEGIUL COMERCIAL â€™CAROL Iâ€™ CONSTANTA, CT, NU, ZI, TEHNICIAN IN ACTIVITATI DE COMERT, Utilizator experimentat, 10, , 10, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA TEHN, 7.4, , 7.4," LOGICA, ARGUMENTARE SI COMUNICARE", 9.35, , 9.35,  , 8.91, REUSIT
5, CT1146566, 2156, 62206, LICEUL TEHNOLOGIC DE ELECTROTEHNICA SI TELECOMUNICATII CONSTANTA, CT, NU, ZI, TEHNICIAN DE TELECOMUNICATII, Utilizator avansat, 7.85, , 7.85, ,  , , , , LIMBA FRANCEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 9.15, , 9.15, FIZICA TEH, 5, , 5, Utilizator experimentat, 7.33, REUSIT
6, CT1146572, 1334, 40173, COLEGIUL NATIONAL â€™MIRCEA CEL BATRANâ€™ CONSTANTA, CT, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.3, , 9.3, ,  , , , , LIMBA GERMANA MODERNA,  , MATEMATICA MATE-INFO, 6, , 6," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.6, , 9.6,  , 8.3, REUSIT
7, CT1146592, 1867, 54709, COLEGIUL COMERCIAL â€™CAROL Iâ€™ CONSTANTA, CT, NU, ZI, TEHNICIAN IN ACTIVITATI DE COMERT, Utilizator experimentat, 7.45, , 7.45, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 5.95, , 5.95, GEOGRAFIE, 9.65, , 9.65, Utilizator experimentat, 7.68, REUSIT
8, CT1146604, 353, 11489, COLEGIUL NATIONAL â€™MIHAI EMINESCUâ€™ CONSTANTA, CT, NU, ZI, FILOLOGIE, Utilizator experimentat, 9.2, , 9.2, ,  , , , , LIMBA GERMANA MODERNA, B2-B2-B2-B2-B2, ISTORIE, 9.25, , 9.25," LOGICA, ARGUMENTARE SI COMUNICARE", 9.55, , 9.55,  , 9.33, REUSIT
9, CT1146620, 4176, 106924, LICEUL TEORETIC â€™GEORGE EMIL PALADEâ€™ CONSTANTA, CT, DA, ZI, STIINTE ALE NATURII, Utilizator nivel mediu, 6.1, , 6.1, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 1, , 1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 3.15, 2.7, 2.7, Utilizator nivel mediu, , RESPINS
