,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, DB804729, 26, 1594," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA, B1-A2-B2-B2-B2, MATEMATICA MATE-INFO, 9.95, , 9.95, FIZICA TEO, 10, , 10, Utilizator nivel mediu, 9.81, Reusit
1, DB804731, 448, 22978," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.35, , 8.35, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.5, , 9.5, CHIMIE ORGANICA TEO NIVEL I/II, 9, , 9, Utilizator avansat, 8.95, Reusit
2, DB804733, 114, 6722," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.25, 8.85, 8.85, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.9, , 9.9, FIZICA TEO, 9.9, , 9.9, Utilizator avansat, 9.55, Reusit
3, DB804735, 687, 35695," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.95, 7.9, 7.9, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.25, , 9.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.25, , 8.25, Utilizator nivel mediu, 8.46, Reusit
4, DB804737, 41, 2846," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 10, , 10, FIZICA TEO, 9.7, , 9.7, Utilizator avansat, 9.73, Reusit
5, DB804739, 358, 19211," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.15, , 9.15," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.6, , 8.6, Utilizator avansat, 9.08, Reusit
6, DB804742, 267, 14945," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.5, , 9.5, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.3, , 9.3," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.9, , 8.9, Utilizator avansat, 9.23, Reusit
7, DB804744, 666, 34832," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.1, , 8.1, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 8.6, , 8.6, FIZICA TEO, 8.8, , 8.8, Utilizator avansat, 8.5, Reusit
8, DB804749, 730, 37385," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.35, 7.25, 7.25, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 8.75, , 8.75, FIZICA TEO, 9.15, 9.2, 9.2, Utilizator avansat, 8.4, Reusit
9, DB804756, 177, 10403," COLEGIUL NATIONAL ""ION LUCA CARAGIALE"" MORENI", DB, NU, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 8.85, 9.1, 9.1, ,  , , , , LIMBA ENGLEZA, A2-A2-B2-B2-B2, MATEMATICA MATE-INFO, 9.6, 9.6, 9.6, FIZICA TEO, 9.5, , 9.5, Utilizator nivel mediu, 9.4, Reusit
