,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, PH1030044, 1547, 34491," COLEGIUL DE ARTA ""CARMEN SYLVA"", MUNICIPIUL PLOIESTI", PH, NU, ZI," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", Utilizator experimentat, 8.65, , 8.65, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 8, 8.1, 8.1, GEOGRAFIE, 9.4, , 9.4, Utilizator experimentat, 8.71, REUSIT
1, PH1030112, 2725, 63649," COLEGIUL ""ION KALINDERU"", ORASUL BUSTENI", PH, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 8, , 8, ,  , , , , LIMBA FRANCEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 6.55, , 6.55, BIOLOGIE VEGETALA SI ANIMALA, 8.15, , 8.15, Utilizator experimentat, 7.56, REUSIT
2, PH1030241, 1840, 41201," COLEGIUL DE ARTA ""CARMEN SYLVA"", MUNICIPIUL PLOIESTI", PH, NU, ZI," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", Utilizator avansat, 9, , 9, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 7.75, , 7.75," LOGICA, ARGUMENTARE SI COMUNICARE", 8.7, , 8.7, Utilizator avansat, 8.48, REUSIT
3, PH1030245, 2304, 52626," COLEGIUL ""ION KALINDERU"", ORASUL BUSTENI", PH, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 7.9, 8.4, 8.4, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 7.45, , 7.45, INFORMATICA MI C/C++, 8.3, , 8.3, Utilizator experimentat, 8.05, REUSIT
4, PH1030279, 5630, 153593," LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"", MUNICIPIUL PLOIESTI", PH, DA, ZI, TEHNICIAN IN INDUSTRIA TEXTILA, Utilizator nivel mediu, 3.2, , 3.2, ,  , , , , LIMBA ENGLEZA, A1-A1-A1-A1-A1, MATEMATICA TEHN, -2, , -2, FIZICA TEH, -2, , -2, Utilizator incepator, , NEPREZENTAT
5, PH1030400, 1690, 37835," COLEGIUL DE ARTA ""CARMEN SYLVA"", MUNICIPIUL PLOIESTI", PH, NU, ZI," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", Utilizator nivel mediu, 8.15, , 8.15, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, ISTORIE, 9.45, , 9.45," LOGICA, ARGUMENTARE SI COMUNICARE", 8.2, , 8.2, Utilizator avansat, 8.6, REUSIT
6, PH1030478, 3242, 78119," COLEGIUL DE ARTA ""CARMEN SYLVA"", MUNICIPIUL PLOIESTI", PH, NU, ZI," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", Utilizator nivel mediu, 6.15, , 6.15, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, ISTORIE, 6.85, , 6.85, GEOGRAFIE, 7.5, , 7.5, Utilizator avansat, 6.83, REUSIT
7, PH1030566, 4353, 137643," COLEGIUL ""ION KALINDERU"", ORASUL BUSTENI", PH, NU, ZI, MATEMATICA-INFORMATICA, Utilizator nivel mediu, 5.7, , 5.7, ,  , , , , LIMBA FRANCEZA, A2-A2-A2-A2-A2, MATEMATICA MATE-INFO, 2.4, 2.2, 2.2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6.95, 7.9, 7.9, Utilizator experimentat, , RESPINS
8, PH1030591, 1031, 22674," COLEGIUL DE ARTA ""CARMEN SYLVA"", MUNICIPIUL PLOIESTI", PH, NU, ZI, ARTE PLASTICE SI DECORATIVE, Utilizator experimentat, 9, , 9, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 9, 9, 9," LOGICA, ARGUMENTARE SI COMUNICARE", 9.3, , 9.3, Utilizator avansat, 9.1, REUSIT
9, PH1030612, 4354, 137644," COLEGIUL ECONOMIC ""VIRGIL MADGEARU"", MUNICIPIUL PLOIESTI", PH, DA, FRECVENTA REDUSA, MATEMATICA-INFORMATICA, Utilizator experimentat, 4.6, , 4.6, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 1, , 1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 4.05, , 4.05, Utilizator experimentat, , RESPINS
