,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, B1105040, 3390, 22572," LICEUL TEORETIC ""TUDOR VLADIMIRESCU""", B, NU, ZI, FILOLOGIE, Utilizator avansat, 8.3, , 8.3, ,  , , , , LIMBA ENGLEZA, A2-A2-A2-A2-A2, ISTORIE, 9.75, , 9.75, GEOGRAFIE, 8.8, , 8.8, Utilizator avansat, 8.95, REUSIT
1, B1105062, 1219, 7789," COLEGIUL NATIONAL ""GHEORGHE LAZAR""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 9.2, , 9.2, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.55, , 9.55, CHIMIE ORGANICA TEO NIVEL I/II, 9.65, , 9.65, Utilizator experimentat, 9.46, REUSIT
2, B1105063, 8483, 64856," COLEGIUL NATIONAL ""AUREL VLAICU""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator avansat, 8.25, , 8.25, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA MATE-INFO, 5.1, , 5.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.25, , 8.25, Utilizator experimentat, 7.2, REUSIT
3, B1105075, 12370, 98077, LICEUL TEORETIC INTERNATIONAL DE INFORMATICA BUCURESTI, B, NU, ZI, FILOLOGIE, Utilizator nivel mediu, 6, , 6, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, ISTORIE, 3.8, 4.15, 4.15," LOGICA, ARGUMENTARE SI COMUNICARE", 9.4, , 9.4, Utilizator nivel mediu, , RESPINS
4, B1105098, 632, 4013," LICEUL TEORETIC ""GEORGE CALINESCU""", B, NU, ZI, FILOLOGIE, Utilizator avansat, 9.1, , 9.1, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, ISTORIE, 10, , 10," LOGICA, ARGUMENTARE SI COMUNICARE", 9.8, , 9.8, Utilizator experimentat, 9.63, REUSIT
5, B1105101, 582, 3698," COLEGIUL NATIONAL ""ELENA CUZA""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 10, , 10, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 9.5, , 9.5, INFORMATICA MI C/C++, 9.45, , 9.45,  , 9.65, REUSIT
6, B1105106, 7971, 59939," COLEGIUL ROMANO-CATOLIC ""SFANTUL IOSIF""", B, NU, ZI, GHID TURISM RELIGIOS, Utilizator nivel mediu, 7.85, , 7.85, ,  , , , , LIMBA GERMANA MODERNA, B2-B2-B2-B2-B2, ISTORIE, 6.15, , 6.15, GEOGRAFIE, 8.3, , 8.3, Utilizator experimentat, 7.43, REUSIT
7, B1105112, 4495, 31289," COLEGIUL NATIONAL ""GHEORGHE LAZAR""", B, NU, ZI, MATEMATICA-INFORMATICA, Utilizator experimentat, 7.6, 7.7, 7.7, ,  , , , , LIMBA ENGLEZA,  , MATEMATICA MATE-INFO, 9.1, , 9.1," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 9.1, , 9.1, Utilizator experimentat, 8.63, REUSIT
8, B1105132, 8624, 66158," COLEGIUL NATIONAL ""VICTOR BABES""", B, NU, ZI, STIINTE ALE NATURII, Utilizator avansat, 7.4, , 7.4, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA ST-NAT, 5.2, , 5.2," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 8.8, , 8.8, Utilizator experimentat, 7.13, REUSIT
9, B1105150, 12371, 98078," COLEGIUL TEHNIC ""EDMOND NICOLAU""", B, NU, ZI, TEHNICIAN IN AUTOMATIZARI, Utilizator avansat, 6, , 6, ,  , , , , LIMBA ENGLEZA, B1-B1-B1-B1-B1, MATEMATICA TEHN, 3.15, 3.45, 3.45, BIOLOGIE VEGETALA SI ANIMALA, 2.9, 3.6, 3.6, Utilizator experimentat, , RESPINS
